parameter,mean,std,median
v_norm,0.65957505,0.1671499,0.65685505
a_0,1.4990523,0.24042301,1.4844482
w_s_eff,0.88654786,0.17065175,0.8848236
t_0,0.30961934,0.09470893,0.2998314
alpha_gain,0.7489898,0.07049426,0.7397703
beta_val,0.0038435298,0.2312452,-0.011839055
