v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.42642537,1.7929423,1.1072102,0.1442915,0.5608182,0.48266545
0.3462508,1.7509316,0.4810541,0.18471885,0.54432696,-0.40529123
1.6140715,1.6465507,0.4837057,0.38887385,0.9106991,-0.18962465
0.31256416,1.1490859,0.41784358,0.31479213,0.60047305,0.10075359
0.66195935,0.8601048,0.49126837,0.4255274,0.6810182,0.007620273
1.1483951,1.3870461,0.55068994,0.19831885,0.9009212,-0.93055665
1.3183742,0.9948899,0.50985336,0.45710692,0.5745146,-0.84404004
0.23927371,0.8475217,1.1947664,0.457762,0.8230854,0.6176286
0.5720803,1.6168692,0.86815596,0.3574457,0.9312198,-0.6628406
1.0506438,0.9135006,0.9833743,0.3579062,0.7914793,-0.06963989
0.14351726,1.3245046,1.0247688,0.4761936,0.61448705,0.38095495
0.3973355,0.8506625,1.1175029,0.27494198,0.76110715,0.46369836
1.7840981,1.1825095,1.0259188,0.25165683,0.55258065,-0.95909894
0.7529078,1.2494129,0.53309834,0.36612618,0.83076084,-0.33336675
1.1163894,1.1760043,0.44121456,0.47288,0.9576191,0.009216313
0.6416689,1.7204695,0.47233248,0.45046556,0.74432886,0.4286983
0.5150251,1.2923768,0.32030445,0.49173087,0.7233597,0.6548135
1.6780603,1.3479902,1.0632052,0.4553189,0.5529968,0.042781606
0.3934219,1.0370833,1.1237013,0.23117805,0.7543662,0.58071923
1.0923191,1.1243931,0.40433195,0.47733074,0.89486825,-0.28883454
0.60739756,1.1175721,1.0688136,0.35227305,0.6245771,-0.52498543
0.45649034,0.89084315,0.3206341,0.39554012,0.7889784,-0.30835357
0.6443007,1.1840236,0.65129167,0.44939798,0.80141646,0.10290427
0.373811,1.0181111,0.31059274,0.26756325,0.53613245,-0.09833617
1.6897079,0.8749532,0.57730854,0.22340022,0.7269325,-0.93772423
0.39956865,0.99245495,0.40033546,0.20200533,0.9559928,0.21981479
1.0248201,1.6171279,1.068805,0.4287861,0.9401128,-0.43798855
1.0276092,1.5317373,0.38556525,0.1535848,0.650997,-0.053680968
1.1961887,1.3613018,0.52426827,0.38731256,0.9439054,0.37957606
0.11156376,1.3477668,0.7237611,0.4334313,0.88712466,0.60247034
1.3374114,0.8659949,0.62636834,0.42394766,0.665651,0.80081135
0.29467157,0.99706244,0.85918933,0.31116295,0.9457338,-0.8166158
1.0547287,1.7232535,0.60872144,0.18042096,0.7711416,-0.8404882
0.3439421,1.4992456,0.7389015,0.3649835,0.9076469,0.0018284564
1.201827,1.0654395,0.47245944,0.299342,0.6076958,0.19624664
1.7670913,1.0786246,0.80325675,0.28919953,0.6042375,-0.3390634
0.7661619,1.0961833,0.45353276,0.40722564,0.64863133,-0.040079016
1.699186,0.866676,0.43503866,0.29566354,0.8243506,0.69193274
1.7784703,1.2585083,0.36356905,0.34246436,0.7675638,0.68397415
0.44294372,1.5376875,0.5111045,0.40706357,0.88244563,0.12061783
0.51098955,1.1980249,0.43516582,0.18173692,0.90537965,0.67175615
0.24306072,1.2124532,0.9988893,0.46915865,0.55132437,-0.13603264
0.48003995,0.81207746,0.57802755,0.27871805,0.9520868,-0.2987885
0.3688497,0.86738276,0.3198494,0.21095034,0.7279359,-0.8243162
1.2710396,1.5546427,1.1843469,0.30335426,0.5837642,0.7160461
0.8894771,0.8902242,0.43266362,0.2339096,0.8866327,-0.9223757
1.1781123,1.7045102,0.33738795,0.29618964,0.57994145,-0.55300003
0.96316904,0.89022505,0.59672576,0.44198287,0.68570405,-0.049476463
0.4495399,1.3898221,1.199166,0.46684504,0.7191014,0.059014235
1.6449748,1.6061107,0.9256388,0.22112375,0.5884008,-0.3095191
0.34756395,1.7479743,0.9509097,0.17756735,0.6810721,0.53095555
1.9920233,1.1122184,1.0290049,0.30351144,0.92445654,0.66087604
0.5495741,0.96186227,0.4225831,0.30402762,0.7109188,0.80038786
0.19676143,1.2549709,0.9485727,0.47316435,0.80375594,-0.97854304
0.27538896,1.1391013,0.47641543,0.3880626,0.58277225,-0.21605827
0.6308161,1.354422,1.1235989,0.40168995,0.6280249,-0.35410985
0.7745224,1.3972347,0.5970192,0.10016934,0.66388005,0.20225449
0.79312307,1.2223628,0.3915225,0.49192894,0.9278612,0.739985
0.26020354,0.9157971,0.43851057,0.1227436,0.98841596,-0.96118355
1.2076235,1.4050883,0.7113769,0.14245407,0.5923825,0.96597606
0.6264261,0.90084827,0.45685998,0.17419814,0.8993294,-0.100408554
1.5412854,1.7087401,0.39146942,0.24920191,0.76109177,0.19361344
1.2804601,0.89902115,1.1252933,0.4543099,0.5861803,0.13048853
0.32793498,0.9878316,0.38592035,0.45741457,0.55929214,0.88113844
1.0772545,1.7642547,0.5923765,0.21761097,0.9690994,-0.925777
1.8036921,1.4352465,0.96473515,0.12405461,0.6040912,-0.9140177
0.3350196,1.6145904,0.4842884,0.22716302,0.81672233,-0.9837563
1.4373038,1.4594576,0.5846515,0.22083329,0.5919333,0.025313938
0.3933315,1.4478573,0.3971622,0.26467034,0.604042,0.5346815
0.16043712,0.99166447,1.0118215,0.44707,0.9712287,0.48259082
1.9251277,1.2287499,0.590865,0.3087388,0.8868261,-0.38023564
0.60499465,1.3687974,0.80259895,0.4229307,0.52008104,0.4087112
0.52716935,1.6515865,0.35279742,0.25392702,0.51482487,0.96931213
0.83237475,1.3636081,0.9506511,0.32903913,0.66257036,0.98019904
0.39166743,1.315288,0.37410063,0.4473565,0.70720947,0.3108042
1.4454798,1.1813831,0.7984394,0.41812918,0.7814071,-0.63667274
0.3939654,1.1311615,0.3917796,0.44155622,0.9822407,0.48602003
0.4838509,0.9318072,1.0495641,0.342885,0.9639571,-0.35719305
0.6358035,0.97277826,0.9900782,0.31455043,0.64697546,0.8371589
0.58632386,1.1235229,0.6386902,0.12521711,0.5254235,-0.23342031
0.5708285,1.0935029,0.61361694,0.32782686,0.7469957,0.15939702
1.2541176,1.212042,0.50392216,0.27544436,0.8587491,-0.22776802
1.3909079,0.87935805,1.0678749,0.16400152,0.9263929,-0.13326506
