parameter,mean,std,median
v_norm,0.6664884,0.1640162,0.66427386
a_0,1.4919975,0.23562357,1.4636725
w_s_eff,0.87698513,0.17121212,0.88374096
t_0,0.30918357,0.096030585,0.30348238
alpha_gain,0.7503656,0.070729405,0.7470404
beta_val,0.010145435,0.23508605,0.0021568558
