parameter,mean,std,median
v_norm,0.6724285,0.16580483,0.68165416
a_0,1.487291,0.23523425,1.466715
w_s_eff,0.88303167,0.1735554,0.896202
t_0,0.30978936,0.094695404,0.3075338
alpha_gain,0.75448346,0.06977311,0.76268387
beta_val,0.023496,0.23913372,0.05850296
