parameter,mean,std,median
v_norm,0.79436374,0.48775783,0.64679766
a_0,1.2101648,0.27096185,1.1613195
w_s_eff,0.70393074,0.27064246,0.66093874
t_0,0.30742377,0.11242018,0.30990797
alpha_gain,0.7239026,0.15550089,0.69987905
beta_val,-0.01685553,0.50644207,-0.008431207
