v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.6477965,1.7457302,0.58779347,0.21201664,0.507233,0.54350847
0.63851994,1.6443725,0.8513271,0.47717738,0.8069325,-0.16044347
1.3965011,1.2206668,1.0014888,0.4632333,0.5325919,-0.055423085
0.28450793,1.0287523,0.6331147,0.11081826,0.82769316,0.47766566
1.2619758,1.1171635,0.34583104,0.24365358,0.7605393,0.42165655
0.24499804,0.81490946,0.43241942,0.43709943,0.8484536,0.556086
1.8388596,1.6473974,1.1963613,0.4802378,0.5254539,0.25416526
0.42559543,1.123122,0.618373,0.34880605,0.5083751,-0.9275869
0.562081,1.292174,0.70798844,0.12657627,0.5611119,-0.45784175
0.24249627,1.515651,0.58501345,0.2739786,0.844545,-0.4427548
0.6574688,0.8027105,0.7323112,0.3579307,0.94679224,0.8613555
0.6257542,0.9690758,1.1039081,0.4665906,0.5010804,0.9260622
0.6259374,1.6787058,0.49763307,0.31270522,0.62086225,0.36758775
0.43766752,1.0100824,0.8071041,0.22184452,0.5863579,-0.39550248
0.43843842,1.7715502,1.0818832,0.25351316,0.88718593,-0.9034456
0.44478896,1.7946849,0.5091412,0.43943068,0.67445433,0.16965862
0.4441048,1.2381818,0.6187214,0.344039,0.65117705,0.3270374
0.2072965,1.374742,0.6232527,0.4333671,0.8548472,-0.60488933
1.2682596,0.880898,1.0188506,0.2840204,0.58550435,0.4037876
0.9081151,1.5135341,1.1893643,0.3292816,0.81891793,-0.4928233
0.34143925,1.1615222,1.0520817,0.3761269,0.5917539,0.9640398
0.29111505,1.3760823,0.45828822,0.22248103,0.59811145,0.9605726
0.40734568,0.84243023,0.34254563,0.29898205,0.64247614,-0.36127746
1.403343,1.7971879,1.0187302,0.31722453,0.9212388,0.09371032
0.112304114,1.7675819,0.9853721,0.3295521,0.56400883,0.2991211
0.69121087,1.6351343,0.8673246,0.3647306,0.7060516,0.27492
1.2357895,1.5823499,0.6002883,0.32153678,0.8231991,-0.38774514
0.32324734,1.0071541,1.1103756,0.3399068,0.9443853,0.91902333
0.29032284,1.2431273,0.48164505,0.37613836,0.8423976,-0.7120848
0.5226443,1.1194006,0.7570278,0.12766537,0.99202543,-0.3500524
0.5394026,1.5044762,1.0406934,0.32246003,0.85020244,-0.24219072
1.8407046,1.0728359,0.6264281,0.40208772,0.8769442,0.30479077
0.44689134,0.81296974,0.6302659,0.43586606,0.69399214,0.25230294
0.39233255,1.0306175,1.1421694,0.30790398,0.5020702,-0.5686243
1.1260948,1.648005,0.6847848,0.3144136,0.52606046,0.12306343
0.50808597,0.80725735,1.0077221,0.12394845,0.5903088,-0.6630011
1.2964704,1.0811771,0.34876952,0.42384556,0.7813346,0.35717386
0.6484813,1.0651706,0.5286514,0.21761675,0.9649331,-0.57158834
1.3643672,0.97634333,0.3903802,0.25573495,0.6163362,-0.30551583
0.4039948,1.5006722,0.46041703,0.17547235,0.50843567,-0.6707033
0.54454625,1.3214424,0.31666034,0.24287829,0.5500261,-0.7623503
1.8372881,1.7185206,0.32152387,0.15352331,0.98422384,0.5121099
0.6003968,0.8551676,0.4686966,0.37137383,0.7816405,0.5692515
1.4515091,1.203258,0.8702842,0.24948058,0.50920737,-0.83042127
0.30927816,1.112649,1.0247769,0.22293067,0.5073606,0.32004955
1.9877948,0.80203575,1.1848457,0.1732322,0.62460756,-0.60468173
0.50227356,0.94479895,0.89380807,0.3119282,0.5400423,0.9605859
0.42186913,1.0434299,0.602663,0.3312713,0.5279857,0.41952863
1.1027987,1.2432278,1.0320605,0.45804965,0.77441156,0.7110254
0.35904908,1.7946924,0.80665445,0.36765417,0.6941696,0.539694
0.17361121,0.86972874,1.1913614,0.38776723,0.7214449,0.3305989
0.9659174,0.9576246,1.1411705,0.27503812,0.5617521,-0.27030945
0.36946508,1.4460728,0.38772732,0.37100786,0.54572785,-0.13368672
0.20800851,1.5172275,0.99920416,0.20677917,0.9983811,-0.3558226
1.1859039,0.9306234,0.9360895,0.42339694,0.61797047,-0.09165933
0.7097808,0.97018856,0.48178542,0.3755865,0.59792936,0.99465954
0.12938364,0.8249914,0.58542025,0.32676956,0.8632855,0.0110477
0.20937856,1.7430757,0.6029777,0.40610558,0.5511155,-0.54852605
1.121022,1.0692129,0.5693298,0.37672532,0.87130094,-0.96851027
1.7499999,1.1476296,0.34286013,0.26333782,0.7167098,-0.8813399
1.1229601,1.7345657,1.0429672,0.33226174,0.79415333,-0.6679599
0.28147256,0.8446633,0.8891963,0.36990502,0.8214992,-0.94804883
1.3139799,1.1449904,0.9028152,0.23766476,0.8290075,-0.4481968
0.7135726,1.3125187,0.8664751,0.38316634,0.77379465,0.9208195
0.425002,1.1663892,0.6268442,0.39969692,0.7425918,0.47639313
1.4221586,0.875551,0.9073063,0.36784998,0.89536,-0.10534318
0.49301788,1.4760176,0.45265347,0.38366404,0.634164,-0.932334
