v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.75384593,1.4153379,0.98606247,0.46972454,0.72194046,-0.3320316
0.56555116,1.5543432,0.9471517,0.38219443,0.6479843,-0.113769226
0.7357419,1.3667911,0.7673858,0.32702643,0.84879065,0.08491308
0.3186435,1.3471259,0.8482043,0.36671445,0.878989,-0.088787444
0.85732126,1.6583985,1.0602088,0.32297093,0.76658124,-0.40265542
0.7998044,1.6888897,1.1173369,0.2689398,0.74510765,0.1776323
0.6498096,1.3424325,0.9893062,0.35104352,0.780515,0.47427398
0.8578266,1.665636,1.0918132,0.36520678,0.8335429,-0.053733896
0.78771913,1.6167113,0.7316097,0.29233167,0.7225181,-0.11627804
0.7762742,1.4412601,1.006655,0.2776596,0.7775774,0.009645357
0.48634183,1.4396576,1.1665856,0.2865388,0.6994658,-0.34713396
0.72839856,1.4409057,0.7807256,0.11922637,0.6588722,-0.021178361
0.43783188,1.1858901,0.95987594,0.20368576,0.8433372,-0.35118213
0.89478135,1.3747717,0.8991322,0.2056603,0.78955936,0.34902304
0.5712521,1.832321,0.83695954,0.45671186,0.74405444,-0.13235426
0.74569243,1.7970526,0.98782253,0.381687,0.7138616,-0.36954114
0.33984935,1.2959884,1.1496475,0.19953972,0.77189106,0.361673
0.90061426,1.7930522,0.9401773,0.2612305,0.67641056,0.095876805
0.65494704,1.397844,0.96049136,0.3505902,0.6717118,0.055412423
0.4014116,1.4310924,0.90924877,0.33658513,0.7273813,0.085918225
0.8808409,1.4494487,0.69404536,0.2802489,0.7579538,-0.07637743
0.5483663,1.4423345,0.77012193,0.33822575,0.7138481,-0.33013654
0.6382946,1.1042101,0.6568638,0.2143633,0.6455004,0.32109106
0.874722,1.8165237,0.81722224,0.2928887,0.7094657,-0.056808393
0.8602802,1.2371871,0.68696624,0.42162135,0.6778173,-0.11837051
0.94824314,1.4079099,0.7401544,0.46959525,0.6819819,0.30976275
0.741454,1.6436981,0.9977206,0.4370914,0.77849317,0.109647945
0.9942755,1.8933336,0.8405692,0.20636299,0.71415895,0.102184884
0.75746024,1.6482538,0.83848083,0.33923483,0.7725254,0.33138427
0.7268597,1.5586199,0.9616928,0.4329273,0.7021096,0.09797346
0.66342485,1.2119868,0.97577703,0.26531842,0.7020958,0.27015823
0.83927274,1.403846,0.87605774,0.41269788,0.74349123,-0.11911307
0.43017095,1.1903952,0.80374026,0.27437192,0.7363846,-0.05302156
0.7798219,1.4279445,0.66473633,0.2898934,0.7784641,0.3669694
0.57692516,1.3781136,1.0027039,0.36784074,0.6729286,-0.13896462
0.71365637,1.5925112,0.820746,0.38132232,0.77129215,0.4068109
0.8816192,1.6045567,1.123735,0.21596573,0.7901057,-0.0762325
0.94246954,1.1437049,0.966607,0.35248798,0.7036191,0.25574782
0.5484191,1.6684395,0.5043163,0.34275207,0.788635,-0.090512775
0.9339194,1.9585732,0.6389678,0.27177808,0.77347594,0.17452633
0.7206667,1.4245957,0.80702484,0.31446955,0.73943084,0.23929991
0.6174718,1.6740292,1.0942951,0.36148727,0.7604489,0.096675865
0.76091594,1.5958078,1.0445459,0.16904196,0.7139001,-0.18940021
0.62378937,1.3989745,0.86215985,0.24200483,0.7887623,-0.04010677
0.63435084,1.4308497,0.9119458,0.36480388,0.773814,-0.01936402
0.3079403,1.1786348,1.0207067,0.3661646,0.7300544,-0.080177695
0.8342384,1.5973568,1.1030575,0.46415305,0.6477537,0.08745409
0.39707014,1.4382174,0.88370425,0.4011623,0.7166638,0.16285293
0.53989196,1.468099,0.92170805,0.3634744,0.77341133,-0.12176092
0.52786016,1.2161213,0.98127395,0.21366322,0.69715494,0.11318792
0.7608764,1.7513177,1.1419884,0.3549012,0.66005665,-0.1759196
0.7267484,1.5845271,0.8213185,0.3987055,0.6777304,0.22981633
0.7983869,1.8714163,0.9891455,0.20411617,0.84438545,-0.11100936
0.75195384,1.5100147,1.0724471,0.21734425,0.86507064,-0.32434082
0.4121242,1.2307353,0.63609284,0.30139685,0.78349215,-0.072151124
0.75872266,1.1904764,0.87736934,0.28919113,0.7750865,0.03272208
0.7175862,1.662376,1.0088872,0.31410408,0.64604324,0.08998645
0.71971834,1.2903671,0.8310264,0.25624928,0.6680563,0.027984573
0.5995175,1.2099191,0.7052391,0.28544772,0.77677613,0.13614461
0.7441589,1.5926638,0.643576,0.3729622,0.7955162,0.11587835
0.746179,1.4036237,0.93290627,0.43254003,0.79118335,-0.13730118
0.9070168,1.3575749,0.805435,0.48691303,0.73164237,-0.009668987
0.76964855,1.6757678,0.8338994,0.24601403,0.70494896,0.36385372
0.6886101,1.52153,0.7917289,0.2584837,0.72462,0.20269907
0.59714895,1.3776134,0.628484,0.10692845,0.6211573,-0.21612206
0.8029825,1.6512244,1.0354257,0.19926503,0.64955544,0.07303286
0.5792475,1.8637297,1.1160156,0.35721332,0.6434161,0.027304726
0.4260222,1.3075055,0.959104,0.31982216,0.673217,0.05848735
0.8669262,1.8481998,0.86200315,0.36857334,0.70414406,-0.13452879
0.6349427,1.2304295,0.646625,0.24851505,0.78406835,0.19004129
0.9878165,1.5524842,1.1796227,0.3864804,0.7307824,-0.21784243
0.77446795,1.8729131,0.83604574,0.19385742,0.8587215,-0.3707747
0.45948985,1.3133751,0.9817717,0.2295317,0.80666476,-0.02782499
0.8463619,1.5464673,0.8729133,0.34347242,0.7195545,0.34694034
0.88697,1.2207906,0.93388176,0.19809496,0.7915726,0.10268124
0.7478325,1.6415194,1.0448667,0.2874575,0.63686997,0.31220227
0.7407819,1.39361,0.9191562,0.2184238,0.735561,-0.34059438
0.35353902,1.4352161,1.1669422,0.45021516,0.657822,0.32195914
0.81657124,1.5115176,0.8201342,0.2430685,0.7551721,0.11261231
0.6262877,1.6485333,0.6761858,0.36788303,0.65752333,0.17628407
0.7899297,1.3569496,0.604146,0.24109283,0.6197869,0.18207772
0.6399766,1.2115645,1.1879145,0.2776385,0.6538622,0.2699281
0.8948994,1.4307483,1.1435245,0.3592496,0.6423858,-0.39597523
0.46776152,1.5784489,0.911055,0.34345052,0.7987043,0.17063294
0.45880947,1.1481924,0.7447509,0.29925367,0.74473095,-0.08099586
0.53986275,1.6011966,0.6789275,0.37992847,0.77814466,0.25681034
0.47506753,1.2037054,0.64576334,0.32394218,0.8013886,0.15731765
0.7167711,1.3834616,0.9825035,0.37262776,0.65556014,-0.06466577
0.6901758,1.5833664,0.8241815,0.3744964,0.7196351,0.2788333
0.88128954,1.8863163,0.93633443,0.276763,0.67981994,0.11146581
0.3545139,1.6674562,1.11478,0.29708707,0.82415116,0.18610844
0.7100903,1.8054442,0.9412466,0.37684977,0.78262174,0.48864093
0.7535465,1.1770896,0.9637807,0.28146338,0.68268746,0.13590616
0.7585541,1.8377733,0.7107912,0.2580475,0.7960141,0.070558034
0.53686833,1.5602704,0.9867909,0.45281094,0.85033226,-0.43607643
0.7862605,1.565243,0.6527554,0.36294094,0.7887849,-0.059781276
0.79740834,1.7801037,0.6924784,0.1329139,0.6967881,0.3929031
0.57767034,1.4414414,1.188809,0.27032286,0.8930498,-0.37423855
0.6948045,1.6930554,0.75123876,0.4714003,0.72260755,0.033552792
0.7023171,1.557808,0.88413393,0.48900607,0.7077616,0.11077517
0.89396685,1.2582221,1.1239147,0.35432312,0.8477767,0.030820219
0.6446231,1.8290234,0.6334529,0.37338182,0.84135056,0.072572544
0.59957373,1.527232,0.6320026,0.19712459,0.73865116,0.13390978
0.7480914,1.4544371,0.93661577,0.28648183,0.6948677,-0.39071146
0.552246,1.3935884,0.84719,0.43960893,0.77865195,-0.039744098
0.71844846,1.6198758,0.7729834,0.16779122,0.698096,0.36788368
0.6244184,1.1730516,0.9384391,0.49703166,0.6741637,0.09820948
0.6998059,1.8119512,0.75974214,0.3601772,0.64381695,-0.32795018
0.762234,1.6315713,0.85915524,0.28234905,0.8405834,-0.103830315
0.77981406,1.6737826,0.9345297,0.19750443,0.6522845,-0.33618894
0.32042333,1.4613274,0.8532874,0.2709486,0.71232533,0.15069677
0.73052704,1.4257293,0.9077243,0.362749,0.7111895,-0.045199633
0.6425292,1.2392985,0.9557284,0.2488598,0.78116614,-0.2909277
0.6054526,1.4308139,0.9709814,0.26137105,0.69521606,0.18428387
0.72206,1.6775591,0.89152807,0.37692294,0.8998219,-0.22033675
0.5391496,1.0378412,0.58122385,0.27148655,0.7854449,0.124900244
0.6596595,1.7768115,0.78775454,0.3687589,0.6591315,-0.22676301
0.8785743,1.2504715,1.1413859,0.46322554,0.8546579,-0.10463055
0.8921773,1.5842669,1.0820477,0.26460686,0.7648128,0.3398048
0.9284855,1.4393052,0.850744,0.3828228,0.86825454,0.03865546
0.68511397,1.1118647,0.7215312,0.13154173,0.77822495,-0.08861236
0.36966398,1.6333145,1.0102483,0.44029623,0.81916964,-0.31913048
0.4705441,1.66821,0.63582873,0.2848589,0.89844215,0.34699762
0.643344,1.8018906,0.83017063,0.4304357,0.8561717,-0.4012788
0.5012082,1.6082596,0.8187143,0.39275995,0.7301335,0.31622678
