parameter,mean,std,median
v_norm,0.669242,0.16372962,0.67109954
a_0,1.5110265,0.2338468,1.5026873
w_s_eff,0.8850389,0.16913465,0.90212137
t_0,0.31056097,0.092820466,0.30432075
alpha_gain,0.7495132,0.07060288,0.74927646
beta_val,0.02301613,0.23517826,0.06215946
