v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.6812408,1.1407034,1.1260309,0.14364104,0.76635593,0.48338696
0.33815673,0.8968937,1.090832,0.10983397,0.5144268,0.7765545
0.1369156,0.80729187,0.36003172,0.49010623,0.5850689,-0.40533546
1.0520134,1.6768485,0.7075257,0.3630678,0.5313299,-0.26017073
0.4343487,1.3719679,0.43369487,0.16360909,0.7374576,-0.80133045
0.64278066,1.0516104,0.6292485,0.12491931,0.9851729,-0.15993561
0.40150526,1.4632596,0.33019918,0.21904,0.8567518,0.3489948
1.4610986,0.96780366,0.54737765,0.13130434,0.5813697,-0.53846884
0.7023475,1.077842,0.83338684,0.22639194,0.80891424,0.23201895
1.7116765,1.3364962,0.67422646,0.3172801,0.9756788,-0.9725865
1.2263335,1.3059046,0.829131,0.34751803,0.8275695,-0.6233055
0.9848212,0.93624544,1.1784458,0.37301287,0.9976759,0.40507904
0.44445035,1.1760944,0.37448752,0.3633853,0.9103301,0.6671325
0.1968543,1.1659583,0.65764076,0.39589196,0.9031603,0.44038478
1.6460108,0.87922627,0.5224014,0.3470749,0.5940802,-0.19334927
0.5060733,1.292551,0.8781783,0.13223837,0.7194504,-0.47478372
0.9856919,0.8335277,0.37066507,0.27819082,0.9808627,-0.47041896
0.59081906,1.5436456,0.7017669,0.3926143,0.86814517,-0.018618096
1.1376525,1.2815331,0.8385743,0.32396185,0.6111665,-0.51804787
0.52201545,1.0471452,0.80896205,0.2991556,0.59966063,0.29904005
1.4075954,0.8498606,0.6335538,0.40346095,0.57867634,-0.42455915
1.6001827,1.3221564,0.38251692,0.46398696,0.6928222,0.7507436
0.23509768,1.6816282,1.142804,0.19894764,0.73880756,-0.24553142
0.898009,0.99140364,0.5336375,0.3701456,0.5038345,-0.019077467
0.7534639,1.4470696,0.4728462,0.10517925,0.9000166,0.50398946
0.49798217,1.3312731,0.39200625,0.16593616,0.94650966,0.49913675
0.14655277,1.22486,0.45909745,0.32738325,0.575278,0.8656248
0.17308448,1.0995468,0.9375726,0.2670008,0.60206145,-0.65191424
0.15847,1.6136518,1.061913,0.27987567,0.8098012,0.82939816
0.7855754,1.00658,1.1223067,0.10285511,0.9954369,0.30839857
0.43640885,1.6415105,1.0370816,0.23458256,0.63722104,-0.4773473
1.2197857,1.3886971,0.40360454,0.27472696,0.51463884,-0.5997983
1.2607414,1.1059791,0.5716727,0.36758265,0.5185972,0.91420615
1.0509894,1.5392753,0.49284804,0.3782198,0.88373536,0.23609708
0.55057186,1.0670778,1.0554004,0.41454992,0.5022279,-0.3944851
0.5480539,1.231563,0.62939084,0.3941219,0.6428302,-0.010947822
1.062854,1.6544214,0.7669554,0.44778132,0.6029415,-0.7282117
0.37307304,1.089045,0.985042,0.24422556,0.5246818,-0.19430274
1.1302819,1.0849825,0.33021384,0.2742453,0.9914137,-0.65834343
1.7730994,1.6265607,0.97959745,0.44269148,0.8398679,-0.4908578
1.0546726,1.1500312,0.95052844,0.44497713,0.61604494,-0.5120827
0.80277145,1.1264781,1.1598015,0.34590676,0.6889923,0.38365805
1.3282644,0.80259633,1.0464464,0.25441214,0.7002515,-0.21215248
1.0901353,0.9408637,1.0497174,0.23205999,0.54696196,-0.18296406
1.842646,1.2655253,0.52150023,0.47823673,0.54681796,-0.46371
1.1606009,1.6024346,0.5249185,0.47490096,0.69343823,-0.69573355
0.3562703,1.4572971,0.5490902,0.42792138,0.580279,0.56007475
0.122594096,0.852927,0.5931179,0.28379253,0.7476426,0.38222474
1.276577,1.2642999,0.7172285,0.14992635,0.57483643,0.4132865
1.1339258,1.0708208,0.42117253,0.47719166,0.81597394,0.80123025
0.20182543,1.421804,1.0292063,0.48547965,0.6877977,-0.28865674
1.1440215,1.186931,0.83025897,0.15797253,0.53867847,0.16997504
0.18341275,1.1078519,1.156251,0.4309974,0.9513386,-0.53421634
0.2960172,1.1057061,0.76017964,0.20105104,0.9369106,-0.521228
0.99533975,1.2860703,0.5973053,0.39090845,0.5296266,0.6158951
0.57703793,0.82746905,0.7001107,0.12773614,0.67145634,-0.2133673
0.29475552,1.3178601,0.44516617,0.25269118,0.5794705,0.8550354
0.36561275,1.430412,0.45994863,0.25828478,0.9781482,0.50677776
1.2140619,1.247052,0.94150794,0.24302647,0.9041416,0.5603563
1.6837674,1.0240211,0.71156794,0.24687922,0.7562662,-0.8962056
1.2278876,1.2735718,0.9735119,0.2084805,0.62878525,-0.5248208
0.5289505,1.5762029,0.57919496,0.18647087,0.81182414,0.6019253
1.2870688,1.2949302,1.0589567,0.4409945,0.53398025,0.02428036
0.17502518,1.5830816,0.66340774,0.4247087,0.90355426,-0.7724962
1.4195216,0.9246885,1.1080397,0.307686,0.83061665,-0.03120534
1.270762,1.1777384,0.43231386,0.17034149,0.609959,-0.9646433
0.22684793,1.2721602,1.0142174,0.22643502,0.6018537,0.4419256
1.3499272,1.0850018,0.792325,0.20069554,0.8745952,-0.57335603
0.3718723,0.99702275,0.36152232,0.49930876,0.76485777,-0.3598575
0.5138092,1.485237,0.87343484,0.37616298,0.5763148,0.9630151
1.0926529,1.3727254,1.0672365,0.4720352,0.8405599,0.2680542
0.5219642,1.0918529,0.5627058,0.13362104,0.54109704,-0.01714002
1.1552937,0.95413727,0.76006246,0.14070702,0.8892929,-0.56298083
0.6448495,0.912017,0.43555176,0.41761994,0.68814117,0.5001099
1.4305098,1.4225371,0.5080031,0.3373931,0.7036033,-0.1728201
0.90200186,1.1574775,0.39562285,0.11975504,0.80683285,0.48816147
1.8667228,0.96519226,1.0685747,0.26904836,0.59539795,-0.9908383
0.44461256,1.0725851,0.5997109,0.100753844,0.9836313,0.4428097
0.6453264,0.89203155,0.83405805,0.18319885,0.7983272,-0.29829404
0.28333217,0.8798291,0.87711835,0.34434623,0.60685045,0.4431776
0.26335472,1.1673588,0.53398126,0.23981681,0.51812947,-0.24231282
0.33404118,1.7372898,0.82965565,0.4363208,0.66441274,0.31036174
0.9069845,1.0533724,0.3899158,0.474428,0.63198227,-0.6202216
0.38184386,0.8612155,0.7539839,0.4726106,0.6800927,0.12935475
0.12502,1.5963898,0.4141777,0.19417463,0.5774799,0.7128993
0.7741023,1.2482228,0.98004687,0.34469527,0.6478594,-0.5257862
1.069269,1.5036132,0.47391137,0.44823563,0.51150596,0.85777754
1.0491045,1.2217226,0.6619669,0.20343585,0.59720993,0.47346422
0.44729295,1.0727543,0.4519239,0.47007093,0.60425127,-0.9226355
1.041011,0.9281373,1.0758772,0.20710027,0.9316464,-0.29985636
0.3350738,1.1145207,0.53059447,0.16721828,0.53094745,-0.30418402
1.9769702,0.90341413,0.9647446,0.19191898,0.59877855,0.932356
0.57830673,0.9461398,0.43269855,0.21921097,0.58367974,0.62739295
1.2519311,1.3596898,0.969318,0.49955827,0.53688127,0.8813061
1.4450736,1.2086942,1.1457887,0.21051224,0.6859662,-0.5277927
1.2061211,1.2194058,0.9638505,0.1717067,0.62503296,-0.372466
1.4190913,0.9522557,0.5516868,0.21551357,0.59544694,0.8955317
0.2668987,1.524116,0.4392447,0.23855118,0.63868093,0.20941794
1.1920041,1.3822476,1.0048534,0.31385115,0.56438035,0.005433813
0.7980186,1.1999792,0.33898354,0.33972457,0.63168037,-0.8674751
0.41178235,0.9696075,0.7894682,0.24770923,0.728868,0.80090976
0.36841437,1.027502,0.9486879,0.44935176,0.62860155,0.451146
0.48688713,0.89260435,0.5086981,0.18830808,0.6365769,0.104894295
0.49601322,0.8186953,1.0105364,0.34596148,0.56342256,-0.2851535
1.04104,1.0877743,0.9929636,0.18906242,0.52365077,-0.1688174
1.1758707,1.2769747,0.340499,0.16431727,0.6480194,0.17304616
0.4635407,1.2147875,0.5405974,0.35752484,0.5589438,0.42082283
0.2715931,1.1549352,1.0056456,0.40423,0.6466361,-0.84269154
0.599732,1.5047351,0.89391243,0.17949967,0.71456546,0.93771017
1.1069764,1.1848744,1.0135314,0.28934723,0.833361,-0.8026208
0.4918901,1.5283122,0.5420535,0.49446115,0.85771805,-0.35345703
1.3761551,1.7041408,0.93535364,0.20861095,0.9620584,0.554681
0.7879558,1.2639824,1.0380692,0.44852078,0.771504,-0.94089067
0.75349283,1.6869867,1.1633542,0.44498003,0.6207461,-0.28563625
0.5340653,0.82255083,0.33666342,0.30552632,0.69135225,-0.7061641
0.9507376,1.1011848,0.723518,0.30677265,0.62540454,-0.1412023
0.72208285,1.1591277,0.6920069,0.2857007,0.8341914,-0.748939
0.6239287,1.0269896,1.0369706,0.31882167,0.538093,-0.219706
0.45177576,1.122059,0.92459905,0.18413126,0.85021925,-0.21240003
0.82595134,1.1661371,0.58467793,0.22064266,0.72768605,0.4421167
1.861702,1.7292857,1.1908451,0.46538407,0.8125463,-0.3150845
1.2219896,1.2790065,0.6789622,0.33795708,0.80583775,0.18518831
0.12356631,1.253927,0.443982,0.26459345,0.8325702,-0.40169248
0.43309575,0.9241393,1.1354936,0.4266976,0.6257901,0.4366571
0.33715788,1.7981702,0.607373,0.14343773,0.8375795,0.8540897
0.9375617,1.1569371,0.3147062,0.2656526,0.91721404,0.54108095
0.5964534,0.86091727,0.52162933,0.43835866,0.50170064,-0.6590798
1.0396374,0.9744181,0.7523571,0.13922511,0.6470344,0.21925633
0.6220338,1.7973747,0.35406846,0.44601837,0.62782997,0.787614
0.34847522,1.5802003,0.6658031,0.20697765,0.5419902,0.26881245
0.49460074,0.92136985,0.36389595,0.22165498,0.5094229,-0.98631626
0.45161906,0.85690606,0.5566973,0.37140185,0.6116326,0.17644088
1.8853853,1.2667074,0.39040008,0.14440219,0.93981284,0.9911344
1.1925868,1.2761216,0.43663952,0.2169577,0.93317425,0.4012276
0.8708393,0.8868836,0.8826438,0.41560206,0.63983935,-0.6063156
0.18706857,1.0889995,1.0120885,0.19353703,0.6127799,-0.41648862
0.9696083,1.3970532,0.7115906,0.3919067,0.55934626,0.5277577
1.2832439,1.132371,0.5586436,0.4648482,0.83638114,-0.22722276
1.4254034,1.2215995,1.1945906,0.40585047,0.90307105,-0.5288425
0.44083327,1.2299087,0.7893134,0.21627434,0.50824034,-0.09056818
0.3746731,1.346774,0.65841866,0.23493657,0.6860963,0.0834461
0.31432354,0.9036669,0.46054766,0.14156404,0.6184131,0.39657116
1.3078123,1.2346685,0.64258623,0.30255744,0.7760218,-0.7172355
0.9220655,1.2389531,0.34582275,0.26787072,0.90231943,0.20417961
