parameter,mean,std,median
v_norm,0.66620266,0.16586429,0.6709422
a_0,1.4967846,0.24584131,1.4700953
w_s_eff,0.88077235,0.16469549,0.8768942
t_0,0.31291747,0.09405631,0.30704525
alpha_gain,0.74904114,0.06980128,0.75069016
beta_val,-0.009635343,0.23336092,-0.028224444
