v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.55931526,1.3865043,0.79117167,0.21013437,0.77583784,-0.29920125
0.8327838,1.6226151,1.1566007,0.37505606,0.70950264,-0.17916566
0.74237746,1.206568,1.1388569,0.11116515,0.63714945,-0.4893793
0.7870145,1.8529944,0.78514314,0.41306576,0.8102028,0.15275577
0.4572248,1.1215298,0.8448483,0.45307735,0.75183076,-0.3259027
0.45560774,1.4597021,0.9063676,0.2872188,0.6645842,-0.05398636
0.7704427,1.6310606,0.97025716,0.3549702,0.8950817,0.3943064
0.6729502,1.644183,0.6657026,0.20970516,0.77140427,-0.036770802
0.7037912,1.1575658,1.136664,0.12384567,0.7590784,-0.12004097
0.57678276,1.8269562,0.9440687,0.22407919,0.63876134,0.08681334
0.9489649,1.400741,0.9234247,0.4266392,0.6495829,0.3010342
0.75874907,1.0363336,0.76777947,0.454756,0.6120575,-0.29302296
0.44446674,1.4642617,0.8842467,0.41868782,0.7584154,-0.48444718
0.89517283,1.6775619,0.7042356,0.21175484,0.8037776,0.010114116
0.7433874,1.564,0.8150296,0.43118137,0.77876896,0.10824903
0.72580177,1.1182299,1.1033179,0.35629383,0.82743436,0.15242137
0.45989257,1.37321,0.9154469,0.45147732,0.6652604,0.18463701
0.4776674,1.3708069,1.0962219,0.3230092,0.67649126,0.31951264
0.7671187,1.8769379,0.96144545,0.36392525,0.8349458,0.08669097
0.73439443,1.6157818,0.8988199,0.11340836,0.77501523,0.39373732
0.63208115,1.2964895,0.7638586,0.19309843,0.75207657,0.31283918
0.42993876,1.4587338,0.9762063,0.293622,0.78948444,-0.44049916
0.37846458,1.2569956,1.118741,0.46847612,0.84779924,0.2736771
0.53474677,1.8903581,0.64362127,0.46222305,0.6809761,0.12099107
0.7254084,1.4192518,0.8874542,0.2774072,0.76818144,0.3141938
0.8059997,1.1396936,0.78019744,0.3554931,0.73177636,-0.13810916
0.4233946,1.2657726,0.6710911,0.31302118,0.7641365,0.15149705
0.37111765,1.6040723,0.9745475,0.2889049,0.78655505,0.15476562
0.8739981,1.3908881,0.52100855,0.2037609,0.7253343,0.18208185
0.36250877,1.2208867,1.0102762,0.27654737,0.8420591,0.10796839
0.9219047,1.3072442,0.7883973,0.2945807,0.77563995,0.115878984
0.7939339,1.182273,0.8961138,0.3680751,0.7862601,-0.047218192
0.71545607,1.4788008,1.1287056,0.44399104,0.77845764,-0.25948358
0.5118115,1.1948338,0.7870165,0.275604,0.72270644,0.025866978
0.7792313,1.6023698,0.86377525,0.34697613,0.7093338,0.30507883
0.6496271,1.4104037,1.0770378,0.2807236,0.8398465,-0.1452925
0.6880105,1.1786999,0.9937258,0.36405116,0.60189515,0.29612696
0.89189374,1.6678067,1.145582,0.34449753,0.8293346,0.13272211
0.996631,1.6386546,0.70635986,0.17452753,0.6982216,0.3443285
0.6526589,1.5417774,0.65158707,0.19873431,0.65276814,0.3898885
0.75059044,1.4038377,0.662279,0.4130037,0.7077428,-0.2269359
0.71496886,1.5650098,0.9614791,0.42545617,0.71619505,0.073476866
0.82578886,1.4201869,1.1665258,0.17865552,0.7781221,-0.015106765
0.5849036,1.6174393,0.5581536,0.4568354,0.73093486,-0.23761812
0.3184778,1.5990418,1.1439551,0.19383815,0.7366372,-0.09447753
0.6414294,1.4767923,0.68698114,0.19324502,0.6476204,-0.04235352
0.8878747,1.4198737,0.96712685,0.2879596,0.78408885,0.09926084
0.6664166,1.011333,1.0931222,0.4260886,0.6516206,0.36745068
0.76911646,1.3144337,1.0581452,0.2240633,0.8363236,-0.35027638
0.6032206,1.9213072,1.1489917,0.36326927,0.7265177,-0.032306567
0.87063676,1.2108079,1.1628274,0.460889,0.81089926,-0.07091229
0.38948366,1.6284065,0.8373753,0.28171188,0.71702904,-0.08721791
