parameter,mean,std,median
v_norm,0.8118812,0.5020893,0.6610139
a_0,1.2108495,0.26954365,1.1695455
w_s_eff,0.70265526,0.2672585,0.65348434
t_0,0.30923137,0.11437786,0.30795267
alpha_gain,0.7168037,0.15097666,0.6810601
beta_val,-0.025036244,0.51738364,-0.034672175
