parameter,mean,std,median
v_norm,0.7907755,0.5052737,0.62565035
a_0,1.1927203,0.2759884,1.1411647
w_s_eff,0.7134876,0.27183825,0.6635065
t_0,0.2995683,0.111856505,0.3009079
alpha_gain,0.722574,0.15258005,0.6996676
beta_val,-0.024502404,0.5351264,-0.05133478
