parameter,mean,std,median
v_norm,0.6669958,0.16353984,0.6670098
a_0,1.4938636,0.23404036,1.4913733
w_s_eff,0.8836676,0.17303829,0.8876661
t_0,0.3116337,0.09355065,0.30731368
alpha_gain,0.7523125,0.068547614,0.7506889
beta_val,0.0095920805,0.23562105,0.028542558
