v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.89813286,1.6472511,0.8425186,0.2925093,0.782333,-0.03885029
0.6441809,1.6033274,0.6846195,0.19212352,0.8859923,-0.3513668
0.95549715,1.2564071,0.835836,0.2859921,0.77808815,-0.32861373
0.7163945,1.702016,0.6528304,0.34577605,0.7792617,-0.05882292
0.76200616,1.5898757,1.094495,0.48323825,0.6730425,0.3664915
0.6025741,1.1648813,0.6773738,0.23108336,0.8311463,-0.0508448
0.7401237,1.9019909,0.83806586,0.18430421,0.8202934,-0.48093948
0.51484585,1.6686201,0.6857859,0.45039678,0.67943233,-0.26247975
0.4507018,1.6028569,0.9537135,0.33607262,0.87484986,0.037532836
0.8754734,1.58549,1.1568047,0.18000028,0.73161876,0.14297223
0.35729647,1.4525253,0.92599815,0.34595004,0.72559375,-0.30784515
0.6928078,1.906035,1.0782954,0.34970695,0.61680186,-0.38085702
0.7735795,1.4907014,0.53567266,0.36089984,0.66071546,0.09565019
0.58511794,1.6259937,1.0888014,0.18119736,0.85441947,-0.106191255
0.80229926,1.4210345,0.8173602,0.25817055,0.81308526,-0.07057963
0.99897003,1.5733035,0.76952887,0.18694171,0.7746726,0.29412162
0.91240907,1.4242455,0.76993555,0.37728912,0.7192645,-0.10484522
0.4878231,1.6474054,1.1136508,0.26114357,0.87139404,-0.3468466
0.73404807,1.5649623,1.1623629,0.25916156,0.7958446,0.4313349
0.5492198,1.4833336,1.0468459,0.21577916,0.6637578,-0.13837405
0.4530075,1.6202778,1.147316,0.27152368,0.84296405,0.18839751
0.7211046,1.614561,1.0477259,0.42150912,0.768599,0.32707655
0.62510777,1.9956943,0.82489574,0.30824032,0.8134597,-0.13654064
0.56210065,1.4362831,0.96541643,0.28498074,0.65463877,-0.23430893
0.7202625,1.8289074,1.116396,0.36399463,0.71166855,0.07486586
0.632949,1.4439625,1.149497,0.2731642,0.7203168,-0.049895603
0.78120834,1.3832253,0.9649423,0.42161664,0.76363677,0.4139375
0.74259657,1.6253493,1.0890969,0.19428866,0.74803656,-0.080825366
0.44330785,1.335065,0.8711567,0.37130973,0.69094443,-0.25851217
0.43838522,1.1992269,0.8028098,0.2822928,0.89836395,0.26447916
0.92794347,1.1723744,0.9681449,0.26036415,0.8500851,-0.17273137
0.46154997,1.2339338,0.7733834,0.26533237,0.7095478,0.27482894
0.7581715,1.6335993,0.6250382,0.28710002,0.72474146,-0.2936306
0.6323968,1.198881,1.0354855,0.28730023,0.73906654,0.31690013
0.5379711,1.4131411,0.9667611,0.18621434,0.7180304,-0.059798088
0.52274364,1.6682295,0.9752297,0.12581705,0.6576264,-0.363267
0.7566122,1.6382185,0.7899104,0.20402004,0.72557116,0.20699728
0.4947836,1.2476753,0.64786184,0.2640684,0.65781224,0.16725084
0.5521187,1.4054261,1.0855473,0.4332432,0.7342456,-0.01762824
0.7524584,1.6263721,0.8236525,0.48657897,0.7669368,-0.05096447
0.8245552,1.5334823,0.8855477,0.2993624,0.7035906,0.015098652
0.43825036,1.6429865,0.9769592,0.22393005,0.7161549,-0.27704558
0.31011254,1.4508061,0.9291998,0.39130622,0.6007379,0.3675828
0.55450994,1.619586,0.8155978,0.3622107,0.65956324,0.19652425
0.4831165,1.1602145,0.6453915,0.120385475,0.6871847,-0.05399717
0.60094696,1.4849415,0.7306638,0.37313166,0.8513807,-0.0710981
0.5718991,1.2797986,0.6097036,0.44436044,0.73429596,-0.17955881
0.6461747,1.5934243,0.80037975,0.1681326,0.7594654,0.16594289
0.7313407,1.0399785,0.96630836,0.46743643,0.7653822,0.07637272
0.60108846,1.6368824,0.5110278,0.27437901,0.660478,-0.060293637
0.72992146,1.7962495,1.1554643,0.107239135,0.7203325,-0.27074137
0.7531939,1.2088708,0.94475865,0.4129978,0.7061289,0.17708598
0.70845383,1.6341162,0.67787194,0.2844049,0.78978974,0.076966666
0.9874717,1.1196754,0.81714696,0.25195843,0.6406062,-0.12392602
0.354266,1.4861524,0.62167454,0.16124578,0.7319919,-0.13309291
0.6095844,1.5845715,0.9555346,0.30528644,0.71266925,-0.26820076
0.6036005,1.3699547,1.138162,0.25459406,0.6608863,-0.042615764
0.77719074,1.3799622,0.7960808,0.32503876,0.71351177,0.128584
0.9610119,1.4478798,0.6777585,0.37730223,0.8057116,-0.042940516
0.84536195,1.855589,0.708931,0.41688967,0.6685732,-0.10116942
0.58515567,1.5683836,0.9654304,0.45293918,0.72745204,0.020163506
0.60963535,1.4045545,0.9707677,0.3391772,0.66057235,-0.36028004
