v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.48382267,0.84372973,0.77391,0.13773343,0.68320405,0.5173534
1.2154069,0.9422266,0.5728861,0.48155326,0.9735527,-0.21104415
1.6047084,1.0638982,0.49136153,0.15760243,0.59319496,0.81280434
0.3737361,1.1686186,1.0323261,0.38806933,0.9433421,0.29162356
0.36048284,0.96163535,0.4849173,0.42677307,0.6291604,0.12697262
1.0574759,1.4689355,1.159191,0.33644655,0.94345874,-0.2875025
0.46649185,1.0153929,0.91152316,0.26875988,0.90222454,-0.38233697
0.44276366,1.2267323,0.93731713,0.4794301,0.9671508,-0.74168295
1.1919975,1.1204723,0.6687534,0.43955424,0.79340374,-0.22485606
1.1023904,1.1831092,0.5951334,0.44179732,0.5693919,0.7265513
0.50534105,1.1069422,0.44847766,0.13036223,0.88800764,0.8058324
1.9844432,0.80942494,0.82349795,0.1145583,0.85872513,-0.7037048
1.1749651,1.1709367,1.0831873,0.13168964,0.5368321,-0.07063086
1.2589428,1.6611085,0.9977291,0.25843197,0.6050822,-0.95569056
0.50021374,0.8784276,0.4303426,0.20761189,0.66584957,0.20539217
0.525908,0.8132761,0.53053397,0.13286616,0.9807639,0.5142881
1.8657401,1.2490394,0.38645193,0.16575076,0.79514766,-0.21707983
0.5833561,1.1867765,1.1140594,0.19361556,0.9461136,-0.24372464
1.2480813,1.264972,1.0176029,0.1173951,0.6765819,0.687975
0.44514576,1.7718896,0.39341378,0.36159003,0.99409705,0.41432118
1.1616529,0.86910725,1.0667845,0.44402874,0.68654466,0.2985072
0.6352638,1.0839152,0.34052306,0.41212973,0.9620633,0.65239173
1.2652633,1.1268815,0.9957746,0.26295742,0.52450794,-0.47813916
0.8353669,1.1916271,0.9951554,0.20822369,0.8630271,-0.65354997
0.5577849,1.4925296,0.4186488,0.3374018,0.5041932,0.25517765
0.60469997,1.1138924,0.51508886,0.25411862,0.8122254,-0.24324216
0.6289056,1.0894806,0.30753684,0.39278656,0.9368813,0.70470077
1.1864743,1.1515566,1.1080817,0.3260097,0.9390319,0.064951755
0.2581467,1.5739784,1.1190801,0.32770196,0.98146653,0.004688125
