parameter,mean,std,median
v_norm,0.78920263,0.47350588,0.6439158
a_0,1.1827832,0.25899553,1.1385502
w_s_eff,0.6990308,0.26945966,0.65054685
t_0,0.30658677,0.11705381,0.30829778
alpha_gain,0.728443,0.15327473,0.707429
beta_val,-0.016747944,0.5115777,-0.023297809
