parameter,mean,std,median
v_norm,0.7772169,0.49406785,0.60744536
a_0,1.1984502,0.2787422,1.140884
w_s_eff,0.6996274,0.27000156,0.63353163
t_0,0.30621946,0.11263167,0.31124187
alpha_gain,0.7293178,0.14722149,0.7114595
beta_val,-0.021526525,0.5189936,-0.054006096
