parameter,mean,std,median
v_norm,0.6606634,0.16646165,0.6707865
a_0,1.5094496,0.23486172,1.5094006
w_s_eff,0.8694556,0.17123374,0.86829245
t_0,0.31128323,0.0950094,0.31262454
alpha_gain,0.7493229,0.070969805,0.75559336
beta_val,0.014422878,0.24127729,0.046087846
