parameter,mean,std,median
v_norm,0.8095315,0.49811104,0.67335063
a_0,1.2052616,0.26864818,1.1482965
w_s_eff,0.6891387,0.2669929,0.63047945
t_0,0.3020766,0.11172878,0.30345327
alpha_gain,0.73306674,0.14990368,0.72154164
beta_val,-0.03992072,0.53140634,-0.059516944
