parameter,mean,std,median
v_norm,0.7844694,0.48668984,0.631425
a_0,1.1978713,0.27452388,1.138171
w_s_eff,0.69961596,0.26792616,0.650716
t_0,0.3005978,0.111046165,0.30151185
alpha_gain,0.724576,0.15384577,0.69322973
beta_val,0.013591986,0.5330535,0.05897968
