parameter,mean,std,median
v_norm,0.66110057,0.15959604,0.65315014
a_0,1.4926614,0.23608041,1.470964
w_s_eff,0.88683414,0.16638091,0.9004467
t_0,0.31097144,0.09392209,0.30346996
alpha_gain,0.74956036,0.06875099,0.75567585
beta_val,-0.0031100486,0.23889834,-0.020643836
