parameter,mean,std,median
v_norm,0.8035184,0.4834799,0.6678947
a_0,1.2089611,0.2776154,1.1634117
w_s_eff,0.71098447,0.2664652,0.676948
t_0,0.30393195,0.11304792,0.30369312
alpha_gain,0.72716314,0.15304746,0.7008953
beta_val,0.020933606,0.51801646,0.0405191
