parameter,mean,std,median
v_norm,0.7994803,0.4889179,0.6744972
a_0,1.1867383,0.27209806,1.1202643
w_s_eff,0.68742657,0.2645442,0.6153399
t_0,0.29800382,0.111118786,0.3004138
alpha_gain,0.73915356,0.15441391,0.7308975
beta_val,-0.005348033,0.5253547,0.007247943
