parameter,mean,std,median
v_norm,0.6625034,0.16259885,0.6571521
a_0,1.5059938,0.23593943,1.4844015
w_s_eff,0.8805033,0.1775437,0.90138626
t_0,0.3143784,0.09708937,0.3149645
alpha_gain,0.7510777,0.06927205,0.75271946
beta_val,0.005479452,0.23432218,-0.00033623897
