parameter,mean,std,median
v_norm,0.81434256,0.4927988,0.6943771
a_0,1.2026052,0.27371216,1.1389971
w_s_eff,0.695229,0.269347,0.64647317
t_0,0.30354053,0.11374208,0.30817991
alpha_gain,0.7162203,0.1521788,0.68391615
beta_val,-0.05706388,0.5108595,-0.10400909
