parameter,mean,std,median
v_norm,0.6567878,0.16530083,0.6571482
a_0,1.5148416,0.23537153,1.5194691
w_s_eff,0.8817452,0.17302884,0.8794847
t_0,0.31098098,0.09713397,0.30444664
alpha_gain,0.75447524,0.06976451,0.7622719
beta_val,0.01442275,0.23177113,0.03253919
