parameter,mean,std,median
v_norm,0.6666203,0.16180502,0.6800742
a_0,1.4976703,0.23480843,1.4760408
w_s_eff,0.8757316,0.16449796,0.8899756
t_0,0.30864292,0.094647355,0.2985144
alpha_gain,0.7520363,0.07173336,0.75626576
beta_val,0.011903557,0.23009546,0.023836544
