v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.73071915,1.11108,0.6035831,0.47948837,0.6602909,-0.91912574
0.9829289,0.81235003,0.5248405,0.123306654,0.9397141,0.49624172
0.16425975,0.84040564,0.5558826,0.17391957,0.9281105,-0.3097038
1.1020674,0.8619468,0.46443114,0.35672036,0.89393485,-0.57503957
0.4434997,1.7964137,0.39788803,0.30139646,0.6805116,-0.46955368
0.6888946,1.0754957,0.7480819,0.44651985,0.6523124,0.18454829
0.57169604,1.5031639,0.6498998,0.3097474,0.5141729,-0.66014403
1.3028984,1.7406962,0.7858426,0.32796928,0.6368943,0.69336176
0.23471367,1.2114459,0.6298376,0.12853822,0.9013028,-0.555416
0.34855208,1.5894134,1.0606915,0.37909207,0.6334633,-0.07891524
0.5429435,1.2672943,0.9481394,0.4064744,0.98814607,-0.37239093
1.2834973,1.156829,0.40274963,0.3828807,0.77588135,0.54953885
0.6063182,0.94658834,0.4271202,0.29151696,0.9539384,0.12080343
0.2529065,1.247721,0.40717056,0.38055557,0.7445557,0.2824206
1.2715833,1.4955968,0.3201948,0.11638121,0.76444876,-0.4797889
1.1045606,1.770796,0.48659617,0.37320083,0.9060823,-0.011473356
1.1088889,1.3989478,1.0508108,0.4113107,0.6950627,-0.067468464
0.69172615,1.506457,0.5134289,0.40996006,0.6980475,-0.85785365
1.3721526,0.8804447,0.56579924,0.22588795,0.70286864,0.5657365
0.44595984,0.9853409,0.85241926,0.35482726,0.5342498,0.17158423
1.8115025,1.1375883,0.86443484,0.4381689,0.5790703,-0.5854582
0.32405502,0.8388283,0.34209362,0.47219223,0.7402577,0.3400055
0.5115696,1.2995908,0.71803397,0.23075409,0.82921994,0.9253182
0.99022204,0.88968265,0.4376259,0.25321707,0.6005428,-0.32414487
1.1068144,1.6373484,0.3261617,0.46751127,0.9983166,-0.24632995
0.9137243,1.6075926,0.57979554,0.14883341,0.887636,0.18668884
0.9729326,1.449435,0.6024681,0.30350274,0.9534666,0.5145661
0.6184397,1.703508,0.542527,0.13099617,0.7208554,-0.839495
0.1760509,1.6095874,0.65321827,0.49648604,0.6882457,0.22641325
1.1626121,1.313352,0.33221737,0.4398401,0.75664735,0.2540836
0.33969536,0.9394048,1.0638953,0.11585758,0.8727988,0.47881505
0.6020276,1.1242198,0.8617788,0.22616191,0.792405,0.9695424
1.1745634,0.9264922,0.6099,0.35906184,0.67635095,-0.31459352
1.133947,1.5869524,0.33140868,0.13323021,0.8988023,0.2378847
0.72953194,1.0394928,0.44431505,0.22787543,0.98283315,-0.2634765
0.93580973,1.5153289,0.84742653,0.24377297,0.57025015,-0.44878176
0.84052664,1.4303004,0.47940594,0.18674313,0.54412806,-0.4119925
0.12994558,1.5664946,0.47291258,0.36410624,0.9692766,-0.5212837
0.39748678,1.2987015,0.5585136,0.38843474,0.53082937,0.09261361
1.110234,1.191526,0.5741094,0.47823066,0.9632559,-0.30106205
0.17326465,1.644177,0.38663793,0.29490358,0.71488446,0.96405
0.8372085,0.9912831,0.34803867,0.24833645,0.98753345,0.32497868
1.9044244,0.9789298,1.0014474,0.29687765,0.88327837,-0.5597287
0.3174516,1.1038076,0.37687892,0.38642028,0.7877366,0.44225544
0.93937117,1.3593554,0.62362385,0.3871542,0.5768403,-0.3134859
1.2714585,1.0033716,0.8989877,0.42482892,0.5211291,0.18165906
1.793275,1.3143142,0.94261,0.15379879,0.9397595,0.19397236
0.59293365,1.2663735,0.7802057,0.45177418,0.66635317,-0.63707364
0.34519663,1.0145316,1.0396969,0.28166834,0.91668934,-0.0869882
0.35943297,1.7188979,1.054224,0.22519633,0.50289047,-0.9439805
0.6123988,1.3119714,0.69127864,0.10907215,0.5488268,-0.30671003
0.45080635,1.7823387,0.92942595,0.32042482,0.8382475,0.52728194
0.2103883,0.9920989,0.44324103,0.17813838,0.95725906,-0.33670053
0.38128993,0.9694121,0.42780688,0.17937319,0.67963296,0.24403352
0.53133523,0.8363831,0.39077666,0.25780424,0.8831497,-0.60026973
0.41297773,1.6561711,0.87782174,0.4477467,0.6843116,-0.28533685
1.4359066,0.8374387,0.9063275,0.41368446,0.708669,-0.8938438
0.9867778,0.8473206,0.5480863,0.4682213,0.630501,0.1067486
0.88181424,1.202123,1.1879365,0.30712876,0.61694163,0.21052395
0.54917544,1.1030585,0.52019185,0.2971199,0.81590676,0.7255551
0.49714178,1.3245634,0.5675564,0.48640946,0.5812052,-0.04272994
1.8317482,1.5840786,1.0970396,0.13340978,0.7601804,-0.07618606
1.227515,1.1390299,0.6174781,0.2706497,0.56332034,-0.3048718
1.1709881,1.0417098,0.3121079,0.44861588,0.50125515,-0.78945154
0.27520338,1.2251058,0.33988658,0.31877637,0.5895365,0.76929384
0.3519613,1.5430863,0.9593619,0.13139239,0.5283288,-0.10002294
0.44267884,0.84883857,0.46711886,0.31731728,0.6117581,-0.70535034
0.16467266,1.243902,0.38289824,0.40232193,0.88007694,-0.6068432
0.24473661,1.3677559,0.9490242,0.40329596,0.5544084,0.92408687
0.54892576,1.1973401,0.31492358,0.2872844,0.8121872,-0.6173974
1.1129725,1.2144742,0.5331497,0.34873813,0.5421107,-0.3449237
0.5951636,1.6029261,0.41433504,0.46909842,0.82833356,-0.685084
0.74990076,1.1114637,0.45182383,0.17853004,0.83453596,0.2626946
1.3182986,1.0499642,0.7877991,0.30010602,0.7640114,0.7722027
1.833514,1.0017155,0.9577775,0.16519731,0.7545402,-0.14484307
1.0859576,1.5039495,1.0012546,0.32916787,0.73786956,-0.28597638
0.91413695,0.91749835,0.9340788,0.2597721,0.963637,-0.29137617
0.5404451,1.6092193,0.9474937,0.46405303,0.90110326,-0.58142924
0.9242611,1.1397929,0.47766045,0.4482206,0.56339556,0.2844989
1.9240987,1.6196986,0.9524392,0.2838001,0.98040855,0.56276745
0.5202638,0.85781157,0.9624741,0.31651318,0.7625469,-0.00095450017
0.5314869,0.92559546,0.3699211,0.41723034,0.7184022,-0.16153954
1.9154625,0.8356064,0.96926516,0.3703976,0.56433105,-0.5569975
0.6565346,1.6802115,0.66184336,0.33819285,0.56905425,0.039886765
1.2050687,1.1924891,0.49548733,0.32889903,0.50762355,-0.316573
0.44397858,0.9658015,0.7843019,0.14674583,0.60318613,0.9421707
0.3864545,1.4177645,1.0910091,0.31308386,0.7866006,0.34605074
0.18088228,0.87855804,0.84718215,0.4097941,0.9975691,-0.96385545
0.2560272,1.0908942,1.0598708,0.42858264,0.6095441,0.59262997
0.3971126,1.1923763,0.6341769,0.25301403,0.88352877,-0.93010134
0.41135696,1.4566991,0.31771612,0.36373776,0.5275832,-0.026765704
1.8701578,1.6014086,0.3912323,0.19993103,0.60060203,0.75607884
0.36667487,0.9440198,0.4303121,0.23399092,0.86378366,0.18975161
0.95486844,1.7024488,1.1652313,0.15760738,0.7214782,-0.49955866
1.1882906,0.8871001,1.1260688,0.2387803,0.5403711,0.44707924
1.9909216,1.2370067,0.9952018,0.10970385,0.54735994,0.22631745
1.0119216,1.4816972,0.5839759,0.4965764,0.97615784,-0.49752402
0.50053966,1.6517024,0.50132215,0.20097582,0.97658294,-0.9457157
0.113128625,1.6611927,0.5945669,0.27048248,0.50466335,-0.11653004
1.0847496,1.6019078,1.0352334,0.40399125,0.7511675,-0.7352429
0.28030148,0.8705494,0.3213841,0.114218675,0.69178045,-0.33846313
0.5592056,1.1104753,0.4447841,0.27584663,0.82004124,0.49765554
1.317327,1.0862609,0.33979207,0.29328412,0.9933025,-0.5002092
0.50070274,1.1572185,1.0469033,0.21191323,0.5943162,-0.26713532
0.3873477,1.0346956,0.79732406,0.18297733,0.820819,0.4801027
0.146207,1.4857994,1.040321,0.23962188,0.7808422,-0.5189522
1.7271849,1.0129838,0.53461564,0.37660742,0.6484862,-0.7154729
1.1882877,0.8930023,0.4669649,0.3059029,0.5596195,0.3146445
1.4786863,1.4985971,0.5426899,0.17554167,0.5468882,-0.22709219
1.8166958,1.7977127,0.4835051,0.39919525,0.75422287,0.5681671
0.72918904,1.5162497,0.47101104,0.33590057,0.7687852,-0.849009
0.6890812,0.8189951,0.4804076,0.26505092,0.52363026,-0.39382333
0.9465905,1.4679648,0.63138735,0.23162477,0.6969613,0.32614702
0.59182054,1.742975,0.31109363,0.34389678,0.7004163,-0.28649944
0.42945847,1.5197065,0.44861108,0.35225564,0.6300533,0.2758294
0.9609307,1.5291727,0.7784674,0.33061385,0.8835686,0.76710576
0.47569063,1.0593,0.36162937,0.24662441,0.9854473,0.69649
1.7978647,0.81871784,0.9915377,0.28780493,0.63888365,0.36997172
1.4450817,1.0541817,0.4764935,0.13799648,0.8995264,-0.37105444
1.2397518,0.95079017,0.50365484,0.3218519,0.5966392,-0.5950009
0.6970918,1.247633,0.38559154,0.48075196,0.99056125,0.20563553
0.2627229,1.3823427,0.67149657,0.1723663,0.8445678,-0.11664189
0.41098398,1.100225,0.3887773,0.19069912,0.9963429,-0.6072057
