parameter,mean,std,median
v_norm,0.80540293,0.49020696,0.66876477
a_0,1.2189844,0.2746828,1.1791012
w_s_eff,0.67749685,0.26030433,0.62171495
t_0,0.30461112,0.11342652,0.30588335
alpha_gain,0.7228271,0.15292595,0.6969613
beta_val,-0.05448907,0.5204656,-0.07891524
