parameter,mean,std,median
v_norm,0.80844283,0.5138382,0.63798153
a_0,1.2023275,0.2735293,1.1497859
w_s_eff,0.7056261,0.2705213,0.6668476
t_0,0.31108174,0.114200115,0.31563243
alpha_gain,0.7286156,0.15658152,0.7019354
beta_val,-0.051359832,0.5311861,-0.110242955
