parameter,mean,std,median
v_norm,0.7697117,0.47194338,0.6189257
a_0,1.2131752,0.28590944,1.1500957
w_s_eff,0.6986473,0.26871562,0.644012
t_0,0.30750608,0.11420937,0.3139375
alpha_gain,0.7241765,0.15263195,0.7021605
beta_val,-0.04976608,0.5229359,-0.08773654
