parameter,mean,std,median
v_norm,0.6612693,0.1635173,0.66484755
a_0,1.4976139,0.2242224,1.4879556
w_s_eff,0.8844728,0.16698918,0.89628553
t_0,0.30540192,0.09655785,0.29656252
alpha_gain,0.74992627,0.06935343,0.74526817
beta_val,0.010413998,0.24159667,0.016356753
