v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.7613874,1.0255723,1.1226153,0.38898388,0.7156498,0.11369934
0.6089398,1.3505017,0.7605901,0.36385748,0.78558993,-0.1840887
0.89250946,1.6866134,1.0556207,0.2670444,0.85832393,0.1731186
0.91553724,1.4140614,0.9308711,0.12376326,0.68741834,0.09176241
0.5831039,1.4157664,0.7250287,0.3698439,0.7385879,-0.28784078
0.4231983,1.7001842,0.7431653,0.1654919,0.77989227,-0.2802093
0.9730659,1.174217,1.0324593,0.37145454,0.7912914,-0.12860931
0.8672234,1.5142716,0.82824296,0.24911623,0.707249,0.14186904
0.5429704,1.636498,0.9799236,0.23629697,0.71540916,0.37273037
0.6809648,1.8407162,0.9023824,0.21617225,0.7874287,0.17937797
0.4253704,1.3416497,1.044121,0.27226645,0.7965018,-0.11600272
0.60754067,1.5910692,1.1859117,0.4415068,0.65199184,0.12859727
0.8875539,1.22443,0.84712493,0.4321892,0.7807983,0.12537159
0.6986976,1.7775694,1.1050364,0.36310163,0.78584653,0.28849024
0.60010463,1.7998799,0.81263703,0.36124727,0.6964262,-0.38521892
0.7876045,1.1732345,0.8198894,0.16474535,0.7973322,-0.33709016
0.35241827,1.466324,0.96906286,0.33386612,0.83520204,-0.19863543
0.6698957,1.8764341,0.6465784,0.4403198,0.85722524,-0.17910321
0.8932681,1.445175,0.8671595,0.40171048,0.71145856,0.08517283
0.3435984,1.686654,1.1616567,0.36274242,0.77600247,0.14465672
0.5774151,1.8557277,0.84489495,0.36373106,0.8598159,-0.33830383
0.6057037,1.6222199,0.86109644,0.33416045,0.7162379,0.16082259
0.75423366,1.6728914,1.0238236,0.35045066,0.7642802,-0.10075891
0.85813403,1.3616436,0.61150545,0.29919004,0.7540088,0.055881716
0.43691295,1.4648376,0.831725,0.23676085,0.7852267,-0.2292533
0.9345066,1.5999851,0.67757285,0.46011922,0.6587015,0.14038953
0.7718952,1.3802003,0.7966114,0.2390408,0.89460963,0.33387557
0.89473337,1.643944,0.5060351,0.3376274,0.7980355,-0.32221556
0.5318167,1.3684996,0.6038855,0.18363668,0.70893455,0.18704896
0.75309235,1.6533301,0.9591084,0.39044237,0.7775591,0.07862207
0.7290708,1.6684139,1.1305587,0.19148189,0.8642933,-0.3433986
0.64049447,1.4478211,0.8365837,0.21866886,0.7080867,0.33734444
0.43888766,1.1135428,0.8300717,0.18482362,0.7814788,0.28281403
0.44527474,1.1943319,0.9253116,0.25723034,0.78145623,0.17445834
0.8518176,1.6484046,0.84851193,0.18044092,0.8634089,0.17915213
0.7809672,1.4130207,1.1902173,0.27662206,0.69104064,0.22303934
0.8347708,1.3747326,1.1176008,0.32874283,0.7219659,0.2785206
0.7451851,1.5735235,0.99937356,0.3722702,0.7160612,0.09704898
0.9817672,1.8473624,0.73791265,0.3615445,0.8452094,0.142552
0.6059248,1.6148939,0.9354114,0.1883738,0.76835734,0.17474854
0.6764433,1.4102381,0.7064721,0.36546385,0.8729087,-0.29239905
0.7764527,1.5148456,0.7656602,0.34810528,0.7488149,-0.12668356
0.4905906,1.4194367,0.85691416,0.26139417,0.8450915,0.20324476
0.7825504,1.2607865,1.0088241,0.35230985,0.71627194,-0.09904097
0.518349,1.2396374,0.8270702,0.2731337,0.7351793,-0.39324415
0.75298977,1.4862895,0.52250427,0.2731007,0.7913596,-0.091751434
0.46309605,1.4242111,1.101056,0.35415486,0.66693133,0.1896312
0.5018905,1.3055432,0.7977315,0.19988161,0.72061604,-0.1412893
0.48021424,1.411859,1.1160773,0.27095702,0.8413811,-0.06313503
0.8145223,1.1066214,0.76746404,0.24259461,0.7671861,0.40040568
0.8523507,1.6035149,0.7743837,0.34418678,0.68195087,0.12633334
0.63245785,1.4125689,0.94858044,0.29095963,0.6589034,0.10947972
0.30492112,1.482459,0.9686498,0.28499326,0.7030011,-0.06945836
0.8126043,1.229435,0.9636888,0.23808257,0.78645027,-0.24522537
0.67173386,1.3904318,0.8805867,0.36035255,0.73380536,-0.34632266
0.80151683,1.4386526,0.9040472,0.3292966,0.692256,0.12236164
0.78062814,1.8464265,0.8269052,0.115283765,0.77229095,-0.3044667
0.77158296,1.5918987,0.759103,0.35944477,0.648718,-0.31019032
0.7820918,1.2231904,0.7656105,0.34436628,0.66787785,-0.3411579
0.746541,1.4938039,0.8435503,0.18288462,0.86039466,-0.3539953
0.67875445,1.3584992,0.7990931,0.37497634,0.7230031,0.21096343
0.8718713,1.5847358,1.1719122,0.35544422,0.6484217,0.33358818
0.58144796,1.6682397,0.66090465,0.24293672,0.77371466,0.09574965
0.8058842,1.9136608,0.9497108,0.28344375,0.783211,-0.08837788
0.89358294,1.0875036,0.66073835,0.2654715,0.7461869,-0.015304619
0.9452474,1.5462865,0.97635317,0.28551713,0.6560081,0.10215508
0.57159114,1.2032868,1.0124767,0.22371557,0.612216,-0.3266108
0.69554436,1.5574375,0.8276666,0.3440778,0.726044,0.09502684
0.31830308,1.8730711,0.82836425,0.36865982,0.6308156,0.10368872
0.41361842,1.3734834,0.53122807,0.2693275,0.71302223,-0.028399576
0.7484719,1.5341519,1.0024872,0.3744914,0.7745074,0.13168956
0.59617025,1.893867,0.9525032,0.3069827,0.7000214,0.42539853
0.6200428,1.5110396,1.0411102,0.316748,0.6016143,-0.067672804
0.8640015,1.6383562,1.1214858,0.4661071,0.83691657,-0.28278464
0.9352387,1.6245236,0.62911874,0.35940987,0.6710765,-0.27256855
0.7176681,1.6505659,0.76797724,0.4917492,0.64362156,-0.29089513
0.58839184,1.4887422,0.799497,0.24725498,0.75572175,-0.29298013
0.5858336,1.0144843,0.6454646,0.39958486,0.7872213,0.057420075
0.772843,1.33685,1.0434074,0.28589228,0.6482356,-0.034108654
0.7433789,1.1281986,0.6665926,0.29676107,0.72556126,0.3222342
0.45025212,1.652961,0.58455366,0.32995743,0.7970466,0.40675712
0.720383,1.1296792,0.8524805,0.34773958,0.7916674,0.18660317
0.88341177,1.3811127,0.9352277,0.35204,0.6351291,0.077216774
0.57138735,1.543518,1.1371424,0.37800407,0.7243874,0.41552824
0.7630345,1.102788,0.9772653,0.21111055,0.84521794,-0.3447911
0.7450104,1.3881693,0.6150989,0.1823472,0.7634004,-0.019883297
0.78729427,1.887534,1.1622914,0.24461617,0.64099765,0.285106
0.8711129,1.7814488,0.9904724,0.2348564,0.68014306,0.12266256
0.6506182,1.8047893,0.89217633,0.17219311,0.88773936,0.14632049
0.71743435,1.5523214,0.77655524,0.311615,0.77982634,0.15550946
0.6196295,1.4241709,0.9674645,0.2964979,0.89755976,0.27837893
0.6941656,1.6495309,0.95625645,0.48074028,0.7899443,0.031429566
0.80492586,1.3733846,0.85252243,0.36660254,0.66611236,-0.28383216
0.5944604,1.4116213,0.97888476,0.30526847,0.79312277,-0.1330596
0.5559446,1.760829,0.9441385,0.48154747,0.71858007,-0.022675117
0.56061786,1.9891635,0.6395502,0.45116365,0.7258224,-0.43020794
0.42525372,1.5162655,0.9868564,0.2736129,0.77658963,0.13696074
0.7476345,1.586322,0.55231947,0.35195455,0.6549125,0.0621655
0.8750823,1.6464942,0.96111685,0.3613485,0.6318506,0.09119693
0.6764204,1.6137645,0.6215404,0.20196967,0.7756877,0.13993736
0.89666194,1.3657788,0.6741983,0.27950367,0.71421355,-0.13774319
0.54206437,1.6666564,0.99484605,0.4779343,0.7692028,-0.3210086
0.5635963,1.7537144,0.81188315,0.3057678,0.68618387,0.12483875
0.560202,1.383979,0.6956832,0.38649258,0.79251075,-0.32891038
0.771581,1.4696969,0.9476255,0.28898576,0.7074008,-0.32660875
0.4611984,1.7721677,1.0002618,0.104352005,0.708164,0.13265923
0.42886367,1.820952,0.6544934,0.2896437,0.60103405,0.28262672
0.58308834,1.8134826,0.6832239,0.34682107,0.71006256,0.4440648
0.39451712,1.228405,0.9874045,0.11399583,0.8557293,0.47928265
0.9359724,1.6582001,0.9311476,0.30691963,0.64652884,0.44370207
0.5713233,1.472726,0.6285927,0.29981908,0.67303246,-0.24204716
0.649501,1.3968686,0.96520936,0.28276438,0.65741265,0.063514985
0.45540103,1.3092415,0.84611505,0.22148499,0.7384281,0.36777493
0.8010832,1.7968168,1.0096153,0.4000219,0.7341316,0.08389971
0.89477503,1.2043148,0.8219681,0.45670354,0.7770726,0.28539258
0.8978213,1.1035777,1.0601022,0.34498912,0.76693696,-0.43612444
0.48837578,1.3747685,0.9615297,0.11814793,0.66442925,0.09667398
0.6971642,1.3684589,0.90822643,0.45055044,0.70753175,0.47776246
0.3870382,1.9077305,0.76328367,0.28366312,0.7860838,0.15297021
0.71104616,1.6558577,1.0016696,0.20613411,0.6311395,-0.30872995
0.57056737,1.6283177,0.67929965,0.35824758,0.8485346,0.21941723
0.664612,1.2551472,0.9402681,0.35927346,0.79524875,0.3149506
0.4365639,1.8173292,0.97866863,0.29105335,0.74543196,0.2107714
0.62475175,1.5082108,0.7935761,0.12979107,0.64282584,0.3957389
0.7973549,1.6585172,1.0076528,0.21886835,0.6618804,-0.09664762
0.34945473,1.1512213,0.92921764,0.27144203,0.78823406,0.3497052
0.95752376,1.6523709,1.1247861,0.25315142,0.79497474,-0.06311886
0.47444272,1.8177378,0.7874383,0.3799727,0.7362301,-0.14737819
0.5938392,1.1712967,0.98394126,0.43444315,0.8074446,-0.06886858
0.77051526,1.029503,1.1977533,0.24070206,0.71483386,-0.33505538
0.5877729,1.1827279,0.5349354,0.42308876,0.7277306,-0.0952108
0.7686161,1.6028192,0.9853745,0.28042915,0.8375667,-0.023550585
0.75175315,1.6370492,0.9542229,0.12851465,0.77828133,-0.01433415
0.63221705,1.1551949,0.82375926,0.2959853,0.6913828,-0.06766132
0.4872408,1.8857446,1.1581004,0.29808512,0.7510576,-0.06981247
0.58352935,1.6194491,0.66648674,0.48048347,0.84949136,-0.06559513
0.5954154,1.6044668,0.8013438,0.3740218,0.72436774,0.38506895
0.44412562,1.4364407,0.80691993,0.28649783,0.8401734,-0.054709677
