parameter,mean,std,median
v_norm,0.80069613,0.48919952,0.66777784
a_0,1.2135755,0.27118286,1.1767168
w_s_eff,0.70212144,0.2666694,0.6454928
t_0,0.3017309,0.111353084,0.3036388
alpha_gain,0.7190753,0.15233894,0.68992585
beta_val,-0.0047969287,0.52221197,-0.012663365
