parameter,mean,std,median
v_norm,0.66669106,0.1605988,0.67476285
a_0,1.5052906,0.24247408,1.517188
w_s_eff,0.87426776,0.1685103,0.8671134
t_0,0.3097605,0.094773926,0.29996276
alpha_gain,0.74577516,0.07034037,0.7364782
beta_val,0.007234832,0.23964322,0.043706264
