parameter,mean,std,median
v_norm,0.65700626,0.16853583,0.6540241
a_0,1.4939386,0.24279234,1.4783047
w_s_eff,0.8903608,0.17124622,0.91097724
t_0,0.3129514,0.09744837,0.3015078
alpha_gain,0.7501261,0.068857305,0.747993
beta_val,0.010074654,0.23762491,0.0066050366
