parameter,mean,std,median
v_norm,0.6697121,0.16621774,0.6813367
a_0,1.4843129,0.24719137,1.475275
w_s_eff,0.87505907,0.17592181,0.8903783
t_0,0.31690547,0.09626614,0.31804043
alpha_gain,0.74841875,0.06973944,0.74500746
beta_val,0.016383553,0.24639091,0.029396832
