parameter,mean,std,median
v_norm,0.80991346,0.4984553,0.6654703
a_0,1.1877313,0.2748854,1.1338383
w_s_eff,0.6873735,0.2698378,0.6307293
t_0,0.30185395,0.11319477,0.3030846
alpha_gain,0.7362827,0.15455087,0.7081632
beta_val,-0.04720063,0.52020997,-0.09697918
