parameter,mean,std,median
v_norm,0.6582587,0.161852,0.6530298
a_0,1.5075306,0.23802073,1.5111614
w_s_eff,0.8817542,0.16610795,0.89913046
t_0,0.30943754,0.09557042,0.30284756
alpha_gain,0.7483171,0.07163466,0.744956
beta_val,0.017961731,0.22920749,0.032422468
