v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.13036686,0.93432117,0.5062983,0.44806495,0.928422,0.6418176
0.42975157,1.123659,0.31257612,0.46746194,0.97547376,-0.6437866
0.42779142,0.8410963,0.7915932,0.16895778,0.6537153,0.1520314
1.2583288,1.0341972,0.47673947,0.4025555,0.8424449,-0.05643442
1.2765723,0.86797184,0.6403453,0.40744302,0.5209755,-0.5780797
1.8129194,1.1199452,1.1525213,0.34355476,0.68944967,0.9284855
0.17058861,1.7981489,0.94216406,0.15394098,0.6022737,-0.5537417
0.4254837,1.3678883,0.88071334,0.15387356,0.7025859,0.39905757
1.1633599,0.8279056,0.3714793,0.30856073,0.58981586,-0.62733674
0.67502034,1.0082865,1.1010039,0.13194382,0.98683596,-0.014317764
0.5570382,1.1875619,0.81738883,0.26651132,0.61900115,-0.3885034
0.7840577,1.2699845,0.3639324,0.11460023,0.95397127,-0.36125144
1.251133,1.1757176,0.9615996,0.25435868,0.64652014,-0.92586684
0.57944065,1.4947209,0.5251877,0.4381707,0.924757,-0.31376404
1.0095125,1.1562122,0.56546026,0.10978567,0.8356703,-0.86869
0.741732,1.2529869,1.1193208,0.15466037,0.84612405,-0.6272239
0.6945597,1.5296949,0.34085298,0.22861,0.6790823,0.87054473
0.47587457,1.4817191,0.7950592,0.19810249,0.7770448,-0.19454134
1.1120071,1.0041422,1.0315766,0.49837795,0.74215484,0.4901628
0.7084256,1.0691972,0.7095924,0.45201084,0.8412967,0.4980975
0.59275293,1.1377871,0.51446486,0.328734,0.64991945,-0.2289135
0.5471026,0.95147175,0.60844177,0.42066804,0.5830342,0.1526194
0.87271523,0.89467216,0.96093905,0.21709153,0.8375114,0.26687965
0.50748813,1.2614617,0.8091474,0.27010828,0.55178005,-0.2737006
0.5958244,1.59784,0.3207045,0.41117975,0.5019038,0.45183218
1.2225392,0.8378488,0.909759,0.23743463,0.6452562,0.10484141
1.3793923,1.0843438,0.5437721,0.45492736,0.61266214,0.34644815
0.30547872,0.9173539,1.0772638,0.29082704,0.62333333,0.2297743
0.30048063,0.8215859,1.1384288,0.33670667,0.64274055,0.31520823
0.16248824,1.4249887,0.45198208,0.29252604,0.99484754,-0.83897585
0.43925875,1.2780931,0.40757728,0.21669483,0.9456203,0.4297614
