parameter,mean,std,median
v_norm,0.7842733,0.48270068,0.64316285
a_0,1.1929257,0.27403232,1.1515015
w_s_eff,0.6938303,0.262018,0.62953573
t_0,0.3063361,0.11476279,0.3085917
alpha_gain,0.7285535,0.15242462,0.7057362
beta_val,-0.053707052,0.5191266,-0.03972214
