parameter,mean,std,median
v_norm,0.6672941,0.16408733,0.67501575
a_0,1.4865794,0.24354477,1.4672692
w_s_eff,0.8716202,0.17525138,0.88512325
t_0,0.31238884,0.094598845,0.3073023
alpha_gain,0.7517309,0.0717799,0.7567623
beta_val,0.022878842,0.23780042,0.048240997
