parameter,mean,std,median
v_norm,0.78967166,0.5047369,0.64547545
a_0,1.208963,0.2764585,1.1623408
w_s_eff,0.7061746,0.27047834,0.6624124
t_0,0.31203455,0.11570086,0.3137089
alpha_gain,0.7250809,0.15552898,0.6973721
beta_val,-0.008628124,0.5149671,0.0034033288
