parameter,mean,std,median
v_norm,0.6654435,0.16712807,0.6870519
a_0,1.502498,0.23546392,1.4996649
w_s_eff,0.8858453,0.1633838,0.8918285
t_0,0.30990085,0.09254288,0.29872978
alpha_gain,0.7520703,0.06941793,0.75288194
beta_val,0.016502174,0.2385948,0.03730392
