parameter,mean,std,median
v_norm,0.66545975,0.16580275,0.68198115
a_0,1.493016,0.23704632,1.477176
w_s_eff,0.8828923,0.16961434,0.8889173
t_0,0.30683812,0.0950657,0.29902276
alpha_gain,0.7483989,0.07041892,0.7401936
beta_val,0.004219844,0.23578502,-0.004721127
