parameter,mean,std,median
v_norm,0.81994253,0.48772416,0.6895408
a_0,1.2037168,0.26963872,1.1777561
w_s_eff,0.70129067,0.2716836,0.6565273
t_0,0.30418944,0.11023035,0.30704042
alpha_gain,0.72830755,0.15386325,0.70740676
beta_val,-0.014767055,0.5181552,-0.04071559
