parameter,mean,std,median
v_norm,0.78415537,0.48551124,0.6489571
a_0,1.2022876,0.27320343,1.1609914
w_s_eff,0.68468887,0.27170587,0.610722
t_0,0.30178192,0.11130104,0.30051303
alpha_gain,0.72668755,0.14838171,0.7050782
beta_val,-0.014862973,0.51360965,-0.0079135
