parameter,mean,std,median
v_norm,0.80427223,0.49236524,0.6604742
a_0,1.2009758,0.2749949,1.1552029
w_s_eff,0.7062186,0.26994672,0.64933556
t_0,0.3033982,0.11307344,0.3059435
alpha_gain,0.7240819,0.14959696,0.6986732
beta_val,-0.0123128975,0.5297843,-0.004344688
