parameter,mean,std,median
v_norm,0.8056487,0.48659852,0.7045246
a_0,1.2130637,0.27185062,1.1811076
w_s_eff,0.6837251,0.26566273,0.62171644
t_0,0.30300498,0.11321065,0.30498675
alpha_gain,0.7197841,0.15291014,0.6871158
beta_val,-0.039805617,0.53145504,-0.08003025
