parameter,mean,std,median
v_norm,0.66918945,0.16685371,0.67437667
a_0,1.5108236,0.23155773,1.5207635
w_s_eff,0.87807995,0.17061427,0.8767903
t_0,0.31517324,0.09435596,0.32182184
alpha_gain,0.7458728,0.0684407,0.7395483
beta_val,0.0077801305,0.24143264,-0.0028176135
