parameter,mean,std,median
v_norm,0.78562975,0.48215085,0.64854205
a_0,1.2085286,0.2763837,1.1635466
w_s_eff,0.69702226,0.269709,0.63659054
t_0,0.30603465,0.1117887,0.30446672
alpha_gain,0.7231575,0.15136327,0.69655615
beta_val,-0.040761687,0.50905144,-0.06565179
