parameter,mean,std,median
v_norm,0.6674152,0.1683676,0.6818245
a_0,1.4990077,0.240386,1.4790651
w_s_eff,0.8825261,0.16794631,0.89612746
t_0,0.31209838,0.09630747,0.31414148
alpha_gain,0.7496143,0.06964127,0.7464285
beta_val,-0.013737348,0.23569433,-0.031627826
