parameter,mean,std,median
v_norm,0.6617134,0.16554368,0.65634453
a_0,1.5113773,0.2455611,1.5441856
w_s_eff,0.8731846,0.16999179,0.8677828
t_0,0.31310186,0.09538127,0.30879375
alpha_gain,0.75207907,0.071348764,0.7592636
beta_val,0.0040005264,0.23625949,-0.026755769
