v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.7613812,1.5637065,0.9273484,0.2937155,0.79706776,0.12348359
0.5644216,1.1566827,0.9209969,0.19380139,0.687319,-0.25639486
0.7737223,1.6049035,0.86873865,0.35140538,0.77609336,0.30390084
0.5033909,1.6199833,0.669224,0.37056094,0.68220174,-0.38688156
0.62690866,1.3619837,0.92201287,0.27798197,0.75372535,0.13832179
0.34163183,1.6095763,0.93959373,0.3541881,0.6492686,0.20247677
0.6095332,1.0265228,0.91679585,0.29556876,0.6519638,0.32136017
0.5812185,1.4735436,0.926298,0.39896965,0.8339839,-0.12259234
0.8764647,1.4514831,0.9654185,0.29205322,0.794821,-0.24899329
0.62831193,1.59141,1.1193275,0.24269426,0.6330167,-0.051028155
0.74699783,1.4764847,0.91182774,0.34393522,0.7653873,-0.47354078
0.44251746,1.185236,0.8445413,0.34954166,0.7206716,-0.05388783
0.8816108,1.4461217,0.9132624,0.10352415,0.6491672,-0.110407196
0.6104291,1.3425678,0.9634975,0.46839464,0.65550035,0.43073896
0.48366922,1.8029591,0.7066125,0.10997384,0.825078,0.27382198
0.5223943,1.4380519,0.92852306,0.18055753,0.7495307,0.2572057
0.60568386,1.5995165,1.1522769,0.48469576,0.64254206,0.035252374
0.7591204,1.8207517,0.97530776,0.36435074,0.66351664,0.17492303
0.45734656,1.436487,1.195193,0.36240733,0.8488245,-0.30130735
0.7613727,1.6717291,0.89382136,0.12064606,0.71089697,0.09454939
0.826114,1.2385106,0.9675081,0.2896612,0.78893703,0.44338384
0.5179353,1.5388612,0.63579285,0.4817224,0.77925617,-0.3656755
0.5308608,1.6417475,1.1448199,0.28399158,0.71118194,-0.46224722
0.6556135,1.5862881,0.97439504,0.44636783,0.79842585,-0.29926395
0.82884294,1.4455496,1.1034477,0.26354796,0.7091223,0.33312353
0.48423576,1.8240244,0.66754836,0.27449864,0.79602575,0.14335854
0.5888559,1.3894628,0.77904874,0.28980213,0.79021347,0.17185041
0.6179775,1.239394,0.97632116,0.3383357,0.77086496,-0.106747694
0.7563103,1.8887309,0.9339017,0.26516485,0.6418961,-0.10791758
0.34332573,1.6378404,0.65185064,0.47086456,0.7434289,-0.25903955
0.65581745,1.4809098,0.81942594,0.45333287,0.7024829,0.33680487
0.7258,1.3842847,0.74043083,0.43630725,0.8089801,0.25329956
0.5697936,1.4016242,0.6402522,0.29899523,0.73766726,-0.18023568
0.49471176,1.3853956,0.7972823,0.21402563,0.7765042,-0.2731305
0.89145154,1.620054,0.829699,0.19679065,0.7763363,0.12506495
0.58446544,1.8708084,0.86209226,0.45543468,0.6992666,0.025341677
0.4655919,1.4273876,0.8530361,0.28439924,0.6359748,0.079417996
0.9130815,1.660288,0.6863667,0.28278366,0.7008597,0.35767505
0.63125753,1.2123026,1.1302269,0.31067786,0.6772623,0.15987809
0.47471383,1.2118787,1.050016,0.35158065,0.83488184,0.074024506
0.7634266,1.3300468,0.9111904,0.36395243,0.7175645,0.087968014
0.9934763,1.3349874,0.86891764,0.3056409,0.72066253,-0.039474458
0.56186473,1.1893592,0.98765,0.32917023,0.82240856,-0.095312335
0.89656293,1.6827556,1.1355431,0.4050392,0.77018577,-0.15614375
0.5300696,1.3819269,0.9677798,0.30771717,0.78402346,0.3047458
0.63756263,1.30212,0.71845394,0.47766438,0.8007198,0.09909105
