parameter,mean,std,median
v_norm,0.66130835,0.15827596,0.6537258
a_0,1.5084494,0.23717429,1.5218066
w_s_eff,0.8784148,0.16368443,0.87164944
t_0,0.31150702,0.09596114,0.30944008
alpha_gain,0.74726415,0.07179062,0.73655146
beta_val,0.007958507,0.23477378,-0.008539185
