parameter,mean,std,median
v_norm,0.6647274,0.16781995,0.65879583
a_0,1.4930421,0.2374915,1.4718299
w_s_eff,0.8902195,0.16490129,0.9182189
t_0,0.3129076,0.09454519,0.3103411
alpha_gain,0.74978185,0.06897114,0.74418724
beta_val,0.011253415,0.24046792,0.02117256
