parameter,mean,std,median
v_norm,0.8128586,0.49968535,0.66276634
a_0,1.2129595,0.27913085,1.1646247
w_s_eff,0.6994784,0.2678136,0.6512753
t_0,0.31002352,0.111064866,0.31431833
alpha_gain,0.72000414,0.15251097,0.6902924
beta_val,0.030675573,0.5173143,0.047572263
