parameter,mean,std,median
v_norm,0.8017911,0.50692296,0.6550078
a_0,1.2188576,0.27135423,1.1809363
w_s_eff,0.70691276,0.26638138,0.65432334
t_0,0.29586664,0.11059344,0.291488
alpha_gain,0.7187514,0.15244897,0.6949303
beta_val,-0.025661187,0.5086027,-0.03807837
