parameter,mean,std,median
v_norm,0.76293504,0.4743786,0.60539764
a_0,1.2074803,0.27588946,1.166597
w_s_eff,0.7000639,0.2663298,0.64178884
t_0,0.2993259,0.11242806,0.3052481
alpha_gain,0.7271295,0.15228046,0.7014371
beta_val,-0.036492065,0.5005721,-0.06704206
