parameter,mean,std,median
v_norm,0.7820093,0.48653883,0.6381211
a_0,1.2131319,0.27212676,1.1652615
w_s_eff,0.6883267,0.25894618,0.63590187
t_0,0.29802093,0.10977177,0.30063668
alpha_gain,0.73100984,0.15388769,0.7112923
beta_val,-0.040470567,0.51042926,-0.051423144
