parameter,mean,std,median
v_norm,0.66529363,0.15786254,0.6615348
a_0,1.4905379,0.24087651,1.4715066
w_s_eff,0.8876809,0.17015754,0.9073637
t_0,0.3129647,0.09415711,0.3042108
alpha_gain,0.7491631,0.07302621,0.7547312
beta_val,0.0055966447,0.23589997,0.0060436875
