parameter,mean,std,median
v_norm,0.67341673,0.16518354,0.69936186
a_0,1.4917405,0.24074644,1.4736077
w_s_eff,0.8769524,0.17246386,0.87873936
t_0,0.30927345,0.09522133,0.30019498
alpha_gain,0.7479827,0.069407985,0.7456783
beta_val,0.0033132709,0.23880506,0.00063619716
