parameter,mean,std,median
v_norm,0.65749264,0.16241474,0.6534521
a_0,1.5038843,0.22945644,1.4996603
w_s_eff,0.8908455,0.1674052,0.90932834
t_0,0.31337726,0.09517961,0.3108293
alpha_gain,0.7511234,0.0685729,0.75261325
beta_val,-0.0023275623,0.2399277,-0.029311525
